Date,Price,Open,High,Low,Change %
7/21/17,0.1836,0.191,0.1935,0.181,-3.87
7/20/17,0.191,0.1615,0.195,0.1615,18.27
7/19/17,0.1615,0.1771,0.1849,0.1579,-8.81
7/18/17,0.1771,0.1728,0.187,0.1599,2.49
7/17/17,0.1728,0.1468,0.1729,0.1417,17.71
7/16/17,0.1468,0.1724,0.1748,0.128,-14.85
7/15/17,0.1724,0.1825,0.1841,0.1717,-5.53
7/14/17,0.1825,0.1888,0.1915,0.172,-3.34
7/13/17,0.1888,0.1959,0.2163,0.1788,-3.62
7/12/17,0.1959,0.1753,0.1959,0.161,11.75
7/11/17,0.1753,0.1839,0.1963,0.1404,-4.68
7/10/17,0.1839,0.2235,0.2264,0.1689,-17.72
7/9/17,0.2235,0.23,0.2415,0.2233,-2.83
7/8/17,0.23,0.2284,0.232,0.2079,0.7
7/7/17,0.2284,0.2488,0.251,0.2251,-8.2
7/6/17,0.2488,0.249,0.2521,0.2462,-0.08
7/5/17,0.249,0.247,0.256,0.2416,0.81
7/4/17,0.247,0.2524,0.257,0.2436,-2.14
7/3/17,0.2524,0.2462,0.2565,0.2397,2.52
7/2/17,0.2462,0.2316,0.255,0.2291,6.3
7/1/17,0.2316,0.2439,0.2463,0.2207,-5.04
6/30/17,0.2439,0.2495,0.2601,0.241,-2.24
6/29/17,0.2495,0.2622,0.2658,0.24,-4.84
6/28/17,0.2622,0.256,0.2665,0.2433,2.42
6/27/17,0.256,0.245,0.26,0.21,4.49
6/26/17,0.245,0.254,0.2635,0.21,-3.54
6/25/17,0.254,0.27,0.2763,0.245,-5.93
6/24/17,0.27,0.29,0.3,0.26,-6.9
6/23/17,0.29,0.277,0.294,0.2741,4.69
6/22/17,0.277,0.2693,0.2801,0.2561,2.86
6/21/17,0.2693,0.2994,0.3094,0.2503,-10.05
6/20/17,0.2994,0.2809,0.3209,0.271,6.59
6/19/17,0.2809,0.2632,0.282,0.2573,6.72
6/18/17,0.2632,0.257,0.2762,0.2357,2.41
6/17/17,0.257,0.2459,0.262,0.2346,4.51
6/16/17,0.2459,0.24,0.2513,0.2249,2.46
6/15/17,0.24,0.2532,0.2606,0.2018,-5.21
6/14/17,0.2532,0.26,0.2989,0.2413,-2.62
6/13/17,0.26,0.2391,0.2755,0.2311,8.74
6/12/17,0.2391,0.2686,0.28,0.2168,-10.98
6/11/17,0.2686,0.25,0.272,0.25,7.44
6/10/17,0.25,0.28,0.285,0.25,-10.71
6/9/17,0.28,0.2843,0.294,0.28,-1.51
6/8/17,0.2843,0.2698,0.2951,0.2633,5.37
6/7/17,0.2698,0.2814,0.299,0.2675,-4.12
6/6/17,0.2814,0.2825,0.29,0.267,-0.39
6/5/17,0.2825,0.2883,0.293,0.2785,6.28
6/4/17,0.2658,0.2658,0.2658,0.2658,0
6/3/17,0.2658,0.286,0.295,0.26,-7.06
6/2/17,0.286,0.3215,0.327,0.264,-11.04
6/1/17,0.3215,0.2366,0.329,0.2323,35.88
5/31/17,0.2366,0.1956,0.2455,0.1785,20.96
