Date,Price,Open,High,Low,Change %
7/24/17,226.59,228.15,232.56,223.64,-0.68
7/23/17,228.15,232.01,236.57,219,-1.66
7/22/17,232.01,216.11,237.19,214.35,7.36
7/21/17,216.11,227.29,239,208,-4.92
7/20/17,227.29,194.63,238,194.63,16.78
7/19/17,194.63,226.56,245.61,187,-14.09
7/18/17,226.56,190.16,258,177.5,19.14
7/17/17,190.16,157.4,190.61,155,20.81
7/16/17,157.4,170.15,172.7,136.12,-7.49
7/15/17,170.15,196.49,197.8,169.82,-13.41
7/14/17,196.49,205,207.76,179.58,-4.15
7/13/17,205,223.92,224.99,189.46,-8.45
7/12/17,223.92,188.63,225,177.78,18.71
7/11/17,188.63,202,215,169,-6.62
7/10/17,202,234.97,238.01,187.5,-14.03
7/9/17,234.97,245.23,249,234.15,-4.18
7/8/17,245.23,238.38,246.66,226.68,2.87
7/7/17,238.38,265.35,265.8,233.84,-10.16
7/6/17,265.35,264.77,273,258.37,0.22
7/5/17,264.77,266.68,272.12,249.53,-0.72
7/4/17,266.68,273.99,283,260,-2.67
7/3/17,273.99,277.64,283.98,266.45,-1.31
7/2/17,277.64,255,285.91,242.81,8.88
7/1/17,255,275.62,277.63,238,-7.48
6/30/17,275.62,285.3,301.9,267.35,-3.39
6/29/17,285.3,311.62,318.27,276,-8.45
6/28/17,311.62,279,318.27,255,11.69
6/27/17,279,251.3,279,204.11,11.02
6/26/17,251.3,277,286.85,214.99,-9.28
6/25/17,277,296.89,306.39,253.2,-6.7
6/24/17,296.89,324.37,327.55,291.53,-8.47
6/23/17,324.37,320.94,329.9,316.36,1.07
6/22/17,320.94,321.66,328.99,305,-0.22
6/21/17,321.66,344.15,348.5,287.11,-6.53
6/20/17,344.15,355.5,366.52,328,-3.19
6/19/17,355.5,348.88,362.5,344.13,1.9
6/18/17,348.88,364.56,377.46,336.89,-4.3
6/17/17,364.56,348.44,366.08,332,4.63
6/16/17,348.44,338.7,355.51,305.22,2.88
6/15/17,338.7,335.95,344,265,0.82
6/14/17,335.95,382.7,385.73,315,-12.22
6/13/17,382.7,386.9,395,345.61,-1.09
6/12/17,386.9,336.33,412.21,297,15.04
6/11/17,336.33,325.88,347,310,3.21
6/10/17,325.88,278.41,341.94,278.26,17.05
